Date,Cloud Provider,Service Name,Region,Department,Cost (USD),Usage Quantity
2025-01-01,AWS,CloudFront,eu-west-1,QA,10.37,36.43
2025-01-01,AWS,EBS,us-west-2,Engineering,9.54,18.36
2025-01-01,AWS,EBS,eu-west-1,Engineering,14.37,30.84
2025-01-01,AWS,EBS,ap-south-1,Finance,9.33,32.39
2025-01-01,AWS,EC2,us-east-1,DevOps,33.71,103.47
2025-01-01,AWS,EC2,us-west-2,Marketing,31.35,83.72
2025-01-01,AWS,EC2,eu-west-1,Finance,32.5,80.59
2025-01-01,AWS,Lambda,us-west-2,DevOps,3.64,6.42
2025-01-01,AWS,Lambda,eu-west-1,QA,3.58,10.25
2025-01-01,AWS,Lambda,ap-south-1,Marketing,5.07,7.44
2025-01-01,AWS,RDS,us-east-1,Engineering,27.57,78.02
2025-01-01,AWS,RDS,us-west-2,Finance,29.24,104.63
2025-01-01,AWS,RDS,eu-west-1,QA,41.04,123.05
2025-01-01,AWS,RDS,ap-south-1,Engineering,38.03,57.71
2025-01-01,AWS,S3,us-east-1,DevOps,8.14,18.62
2025-01-01,AWS,S3,us-west-2,Marketing,7.37,24.01
2025-01-01,AWS,S3,eu-west-1,Engineering,4.7,18.74
2025-01-01,AWS,S3,ap-south-1,QA,8.56,21.0
2025-01-01,Azure,Blob Storage,East US,DevOps,10.35,35.82
2025-01-01,Azure,Blob Storage,West Europe,Engineering,9.48,24.63
2025-01-01,Azure,Blob Storage,Southeast Asia,Engineering,11.17,37.55
2025-01-01,Azure,CDN,East US,Data Science,10.0,20.92
2025-01-01,Azure,CDN,Southeast Asia,Engineering,9.75,23.26
2025-01-01,Azure,Functions,Central India,QA,7.38,18.45
2025-01-01,Azure,Functions,Southeast Asia,QA,8.19,20.8
2025-01-01,Azure,SQL Database,East US,QA,28.92,88.86
2025-01-01,Azure,SQL Database,Central India,DevOps,46.27,166.89
2025-01-01,Azure,Virtual Machines,East US,DevOps,44.39,69.15
2025-01-01,Azure,Virtual Machines,West Europe,QA,49.85,169.24
2025-01-01,Azure,Virtual Machines,Central India,Data Science,42.46,138.54
2025-01-01,Azure,Virtual Machines,Southeast Asia,Marketing,40.55,81.12
2025-01-01,GCP,BigQuery,us-central1,QA,25.56,77.76
2025-01-01,GCP,BigQuery,europe-west1,DevOps,16.89,24.36
2025-01-01,GCP,Cloud CDN,us-central1,Finance,12.21,30.71
2025-01-01,GCP,Cloud Functions,us-central1,DevOps,6.08,15.63
2025-01-01,GCP,Cloud Functions,asia-south1,Finance,3.76,8.86
2025-01-01,GCP,Cloud Storage,us-central1,DevOps,8.27,29.46
2025-01-01,GCP,Cloud Storage,europe-west1,DevOps,6.33,21.85
2025-01-01,GCP,Cloud Storage,asia-south1,DevOps,11.11,21.35
2025-01-01,GCP,Compute Engine,us-central1,Finance,36.32,72.98
2025-01-01,GCP,Compute Engine,europe-west1,Finance,44.31,88.49
2025-01-01,GCP,Compute Engine,asia-south1,Marketing,62.65,160.71
2025-01-02,AWS,CloudFront,eu-west-1,QA,11.03,35.41
2025-01-02,AWS,EBS,us-west-2,Engineering,10.39,19.86
2025-01-02,AWS,EBS,eu-west-1,Engineering,14.83,29.73
2025-01-02,AWS,EBS,ap-south-1,Finance,8.02,32.82
2025-01-02,AWS,EC2,us-east-1,DevOps,44.06,135.94
2025-01-02,AWS,EC2,us-west-2,Marketing,35.54,93.35
2025-01-02,AWS,EC2,eu-west-1,Finance,34.35,94.24
2025-01-02,AWS,Lambda,us-west-2,DevOps,3.81,6.73
2025-01-02,AWS,Lambda,eu-west-1,QA,3.76,10.06
2025-01-02,AWS,Lambda,ap-south-1,Marketing,4.39,7.01
2025-01-02,AWS,RDS,us-east-1,Engineering,32.19,106.69
2025-01-02,AWS,RDS,us-west-2,Finance,31.17,117.84
2025-01-02,AWS,RDS,eu-west-1,QA,36.53,111.59
2025-01-02,AWS,RDS,ap-south-1,Engineering,39.19,65.31
2025-01-02,AWS,S3,us-east-1,DevOps,7.48,14.68
2025-01-02,AWS,S3,us-west-2,Marketing,6.71,24.05
2025-01-02,AWS,S3,eu-west-1,Engineering,5.82,22.07
2025-01-02,AWS,S3,ap-south-1,QA,10.36,23.92
2025-01-02,Azure,Blob Storage,East US,DevOps,11.04,42.78
2025-01-02,Azure,Blob Storage,West Europe,Engineering,7.94,21.82
2025-01-02,Azure,Blob Storage,Southeast Asia,Engineering,12.57,41.93
2025-01-02,Azure,CDN,East US,Data Science,10.66,24.72
2025-01-02,Azure,CDN,Southeast Asia,Engineering,9.47,23.32
2025-01-02,Azure,Functions,Central India,QA,7.14,18.12
2025-01-02,Azure,Functions,Southeast Asia,QA,7.11,16.77
2025-01-02,Azure,SQL Database,East US,QA,32.78,97.23
2025-01-02,Azure,SQL Database,Central India,DevOps,38.41,129.7
2025-01-02,Azure,Virtual Machines,East US,DevOps,41.95,68.3
2025-01-02,Azure,Virtual Machines,West Europe,QA,47.83,145.56
2025-01-02,Azure,Virtual Machines,Central India,Data Science,39.6,116.31
2025-01-02,Azure,Virtual Machines,Southeast Asia,Marketing,47.16,84.5
2025-01-02,GCP,BigQuery,us-central1,QA,24.5,79.03
2025-01-02,GCP,BigQuery,europe-west1,DevOps,16.03,22.54
2025-01-02,GCP,Cloud CDN,us-central1,Finance,11.79,31.17
2025-01-02,GCP,Cloud Functions,us-central1,DevOps,6.6,15.14
2025-01-02,GCP,Cloud Functions,asia-south1,Finance,4.36,10.78
2025-01-02,GCP,Cloud Storage,us-central1,DevOps,7.9,28.29
2025-01-02,GCP,Cloud Storage,europe-west1,DevOps,6.32,23.82
2025-01-02,GCP,Cloud Storage,asia-south1,DevOps,11.03,21.44
2025-01-02,GCP,Compute Engine,us-central1,Finance,37.59,86.52
2025-01-02,GCP,Compute Engine,europe-west1,Finance,56.62,115.69
2025-01-02,GCP,Compute Engine,asia-south1,Marketing,59.72,147.23
2025-01-03,AWS,CloudFront,eu-west-1,QA,7.58,26.93
2025-01-03,AWS,EBS,us-west-2,Engineering,10.36,18.2
2025-01-03,AWS,EBS,eu-west-1,Engineering,25.81,30.75
2025-01-03,AWS,EBS,ap-south-1,Finance,8.56,32.71
2025-01-03,AWS,EC2,us-east-1,DevOps,37.67,117.45
2025-01-03,AWS,EC2,us-west-2,Marketing,30.34,86.1
2025-01-03,AWS,EC2,eu-west-1,Finance,27.21,64.92
2025-01-03,AWS,Lambda,us-west-2,DevOps,3.79,7.01
2025-01-03,AWS,Lambda,eu-west-1,QA,3.82,10.58
2025-01-03,AWS,Lambda,ap-south-1,Marketing,5.66,8.31
2025-01-03,AWS,RDS,us-east-1,Engineering,31.15,101.04
2025-01-03,AWS,RDS,us-west-2,Finance,28.07,96.44
2025-01-03,AWS,RDS,eu-west-1,QA,39.46,136.69
2025-01-03,AWS,RDS,ap-south-1,Engineering,40.99,64.53
2025-01-03,AWS,S3,us-east-1,DevOps,7.03,13.87
2025-01-03,AWS,S3,us-west-2,Marketing,7.16,22.62
2025-01-03,AWS,S3,eu-west-1,Engineering,6.02,25.03
2025-01-03,AWS,S3,ap-south-1,QA,9.61,21.14
2025-01-03,Azure,Blob Storage,East US,DevOps,10.77,38.45
2025-01-03,Azure,Blob Storage,West Europe,Engineering,8.07,20.45
2025-01-03,Azure,Blob Storage,Southeast Asia,Engineering,14.18,50.63
2025-01-03,Azure,CDN,East US,Data Science,10.7,24.43
2025-01-03,Azure,CDN,Southeast Asia,Engineering,9.45,22.61
2025-01-03,Azure,Functions,Central India,QA,7.54,18.8
2025-01-03,Azure,Functions,Southeast Asia,QA,7.36,17.72
2025-01-03,Azure,SQL Database,East US,QA,31.48,96.33
2025-01-03,Azure,SQL Database,Central India,DevOps,44.47,156.14
2025-01-03,Azure,Virtual Machines,East US,DevOps,41.72,68.38
2025-01-03,Azure,Virtual Machines,West Europe,QA,44.77,152.8
2025-01-03,Azure,Virtual Machines,Central India,Data Science,32.85,108.29
2025-01-03,Azure,Virtual Machines,Southeast Asia,Marketing,48.89,83.44
2025-01-03,GCP,BigQuery,us-central1,QA,27.22,80.52
2025-01-03,GCP,BigQuery,europe-west1,DevOps,15.74,23.72
2025-01-03,GCP,Cloud CDN,us-central1,Finance,15.86,41.78
2025-01-03,GCP,Cloud Functions,us-central1,DevOps,6.71,17.18
2025-01-03,GCP,Cloud Functions,asia-south1,Finance,4.51,11.6
2025-01-03,GCP,Cloud Storage,us-central1,DevOps,8.76,32.33
2025-01-03,GCP,Cloud Storage,europe-west1,DevOps,5.46,20.64
2025-01-03,GCP,Cloud Storage,asia-south1,DevOps,10.39,20.3
2025-01-03,GCP,Compute Engine,us-central1,Finance,36.57,73.43
2025-01-03,GCP,Compute Engine,europe-west1,Finance,56.21,114.32
2025-01-03,GCP,Compute Engine,asia-south1,Marketing,55.33,140.84
2025-01-04,AWS,CloudFront,eu-west-1,QA,10.32,36.86
2025-01-04,AWS,EBS,us-west-2,Engineering,11.11,20.62
2025-01-04,AWS,EBS,eu-west-1,Engineering,12.94,26.31
2025-01-04,AWS,EBS,ap-south-1,Finance,8.02,31.31
2025-01-04,AWS,EC2,us-east-1,DevOps,35.45,108.9
2025-01-04,AWS,EC2,us-west-2,Marketing,38.71,101.28
2025-01-04,AWS,EC2,eu-west-1,Finance,34.71,87.92
2025-01-04,AWS,Lambda,us-west-2,DevOps,3.29,5.97
2025-01-04,AWS,Lambda,eu-west-1,QA,3.68,10.01
2025-01-04,AWS,Lambda,ap-south-1,Marketing,4.79,7.92
2025-01-04,AWS,RDS,us-east-1,Engineering,29.87,90.16
2025-01-04,AWS,RDS,us-west-2,Finance,29.37,118.93
2025-01-04,AWS,RDS,eu-west-1,QA,41.3,126.96
2025-01-04,AWS,RDS,ap-south-1,Engineering,67.42,59.48
2025-01-04,AWS,S3,us-east-1,DevOps,7.56,17.67
2025-01-04,AWS,S3,us-west-2,Marketing,7.86,25.77
2025-01-04,AWS,S3,eu-west-1,Engineering,4.88,18.36
2025-01-04,AWS,S3,ap-south-1,QA,11.31,26.27
2025-01-04,Azure,Blob Storage,East US,DevOps,10.99,40.59
2025-01-04,Azure,Blob Storage,West Europe,Engineering,9.16,24.42
2025-01-04,Azure,Blob Storage,Southeast Asia,Engineering,12.25,42.84
2025-01-04,Azure,CDN,East US,Data Science,10.23,22.74
2025-01-04,Azure,CDN,Southeast Asia,Engineering,8.98,22.09
2025-01-04,Azure,Functions,Central India,QA,8.23,20.09
2025-01-04,Azure,Functions,Southeast Asia,QA,7.66,20.38
2025-01-04,Azure,SQL Database,East US,QA,35.83,114.75
2025-01-04,Azure,SQL Database,Central India,DevOps,38.78,146.14
2025-01-04,Azure,Virtual Machines,East US,DevOps,41.08,58.46
2025-01-04,Azure,Virtual Machines,West Europe,QA,55.66,184.03
2025-01-04,Azure,Virtual Machines,Central India,Data Science,37.89,108.54
2025-01-04,Azure,Virtual Machines,Southeast Asia,Marketing,43.88,76.09
2025-01-04,GCP,BigQuery,us-central1,QA,26.3,90.36
2025-01-04,GCP,BigQuery,europe-west1,DevOps,17.72,24.86
2025-01-04,GCP,Cloud CDN,us-central1,Finance,15.34,38.5
2025-01-04,GCP,Cloud Functions,us-central1,DevOps,6.33,14.31
2025-01-04,GCP,Cloud Functions,asia-south1,Finance,3.93,10.34
2025-01-04,GCP,Cloud Storage,us-central1,DevOps,9.09,30.45
2025-01-04,GCP,Cloud Storage,europe-west1,DevOps,5.47,22.02
2025-01-04,GCP,Cloud Storage,asia-south1,DevOps,12.21,24.1
2025-01-04,GCP,Compute Engine,us-central1,Finance,40.57,93.97
2025-01-04,GCP,Compute Engine,europe-west1,Finance,54.98,121.12
2025-01-04,GCP,Compute Engine,asia-south1,Marketing,62.55,153.42
2025-01-05,AWS,CloudFront,eu-west-1,QA,9.79,35.8
2025-01-05,AWS,EBS,us-west-2,Engineering,10.11,17.7
2025-01-05,AWS,EBS,eu-west-1,Engineering,13.71,29.84
2025-01-05,AWS,EBS,ap-south-1,Finance,7.61,27.87
2025-01-05,AWS,EC2,us-east-1,DevOps,35.9,108.94
2025-01-05,AWS,EC2,us-west-2,Marketing,40.08,115.25
2025-01-05,AWS,EC2,eu-west-1,Finance,35.3,97.99
2025-01-05,AWS,Lambda,us-west-2,DevOps,3.67,6.69
2025-01-05,AWS,Lambda,eu-west-1,QA,5.93,10.76
2025-01-05,AWS,Lambda,ap-south-1,Marketing,4.7,6.73
2025-01-05,AWS,RDS,us-east-1,Engineering,29.7,89.35
2025-01-05,AWS,RDS,us-west-2,Finance,35.11,121.67
2025-01-05,AWS,RDS,eu-west-1,QA,40.16,123.43
2025-01-05,AWS,RDS,ap-south-1,Engineering,40.85,66.56
2025-01-05,AWS,S3,us-east-1,DevOps,7.29,16.08
2025-01-05,AWS,S3,us-west-2,Marketing,7.18,24.86
2025-01-05,AWS,S3,eu-west-1,Engineering,6.87,23.73
2025-01-05,AWS,S3,ap-south-1,QA,10.35,22.62
2025-01-05,Azure,Blob Storage,East US,DevOps,11.39,43.68
